Year,City Code,City ,GDP,Proportion of primary industry,Proportion of secondary industry,Proportion of the third industry,Per Capita GDP,Urbanization Rate,Unemployment,Average Wage,City Area,Cultivated Area,Grain Yield,GDP of industries above designated size,GDP of foreign-invested enterprises,Total Retail Consumer Goods,Expenditure on education,Public libraries per 100 inhabitants,Number of hospital beds,Total passenger traffic,Total freight volume,Total telecommunication services,Number of international Internet users,Number of participants in medical insurance
2018,330800,衢州,14705816,5.5,44.99,49.5,66936,NaN,11778,105793,8845,,57.28,,,7174554,484551,,12571,,,175824,900000,674349
2017,330800,衢州,13312700,,,,61250,NaN,13662,96843,8845,,56.06,,,6778923,459035,,11621,,,165726,840000,643285
2016,330800,衢州,12515883,7.05,45.11,47.84,58281,NaN,12589,85527,8845,,71.03,16293076,1144457,6093102,453017,,11948,,,167720,540000,631300
2015,330800,衢州,11461322,7.37,46.66,45.97,53847,NaN,12537,75447,8845,,70.35,15628991,1097337,5509843,423542,58,10916,,,183351,570000,642753
2014,330800,衢州,11150977,7.41,50.12,42.47,43740,NaN,12926,65076.13,8845,,70.68,15846638,916474,5037864,351888,58,9744,5397,9201,151148,510000,2373449
2013,330800,衢州,10565716,7.87,52.62,39.52,41597,NaN,13111,59634.97,8845,,79.92,14485242,882390,4436693,336675,56,8828,5536,8584,161885,430000,529654
2012,330800,衢州,9722460,8.2,53.11,38.69,38476,NaN,12274,54705.68,8845,,79.7,13309992,815725,3963577,311083,54,8011,11727,8736,145000,360000,1550900
2011,330800,衢州,9196209,8.28,55.57,36.15,36508,NaN,11695,50047.06,8845,,79.4,13008618,665490,3443361,270839,49,7267,11511,8561,357713,281200,455455
2010,330800,衢州,7554826,8.56,54.86,36.58,30153,NaN,10450,44053.96,8841,,76.2,10871164,552513,2908244,216583,48,6502,11282,9112,317713,230288,
2009,330800,衢州,6265500,9.52,52.79,37.69,25127,NaN,9340,39093.57,8841,,76.1,8325949,309341,2502501,182005,45,6618,10974,6657,243471,173538,
2008,330800,衢州,5800500,10.64,54.8,34.56,23362,0.208760297,9752,35929.87,8841,,72.93,7433034,370475,2156144,155455,38,6640,7532,9840,245644,156713,
2007,330800,衢州,4785000,11.02,53.05,35.93,21598,0.206829741,9562,32908.9,8841,104,72.87,5709322,326695,1794513,136105,35,6663,7362,9382,227795,189500,
2006,330800,衢州,3874000,13.2,49.3,37.49,15740,0.204597049,9909,28663.57,8841,102,83.3,4272056,152347,1538557,99571,31,6164,6976,8743,177349,166381,
2005,330800,衢州,3291100,14.97,46.28,38.75,13401,0.175021379,10416,26462.86,8841,102,81.4,3212086,103445,1347433,85045,25,5996,5192,7648,153147,140199,
2004,330800,衢州,2837600,16.08,49.22,34.69,11570,0.172427833,9951,22501.65,8841,101,77.9,2359468,66487,1053529,76957,22,5343,3845,6857,143230,119967,
2003,330800,衢州,2337312,17.17,47.24,35.58,9560,0.170730711,9047,18571.34,8837,101,65.5,1688461,47031,910526,60412,17,5139,3687,5002,114892,104934,
2002,330800,衢州,2003105,18.76,45.47,35.77,8214,0.169322138,9020,16031.66,8836,100,74.5,1316643,37026,952557,,17,4963,3430,4647,75745,83649,
2001,330800,衢州,1762770,20.25,45.44,34.31,7252,0.166810363,7382,14094.84,8836,99,80.36,1116832,33824,838647,,17,4370,3313,3759,73882,27900,
2000,330800,衢州,1618997,20.7,46.7,32.6,,0.161706513,7903,10686,8836,98,89.24,893898,27107,763100,,17,4587,3211,3571,,,
1999,330800,衢州,1474938,23.6,44.8,31.7,,0.156784752,7635,9033,8836,98,98.53,776359,18750,695774,,17,,3208,3599,,,
1998,330800,衢州,1408255,25,44.1,31,,0.153500187,,7899,8836,98,94.44,,,634893,,17,4542,3194,3588,,,
1997,330800,衢州,1334083,27.13,42.58,30.29,,0.150939448,,7026,8836,98,101.83,,,602093,,16,,3293,4120,,,
1996,330800,衢州,1302175,27.2,44.4,28.4,,0.147791738,,6302,8836,98,103.49,,,559852,,,,2915,5060,,,
1995,330800,衢州,1144684,27.3,47.1,25.6,,0.142518719,,5711,8836,97,95.17,,,489146,,,,3751,3522,,,
1994,330800,衢州,874183,29.339,46.521,24.14,,0.138904238,,4879.17,8836,97,95.2,,,366010,,,,3114,3000,,,
1993,330800,衢州,640200,,,,,0.136732082,,,8836,98,89.73,,,259351,8086,,,3023,2760,,,
1992,330800,衢州,455500,,,,,0.132749442,,,,,98.77,,,,6750,,,3037,2699,,,
1991,330800,衢州,402200,35.505,43.337,21.159,1740,0.126592116,,,8836,100.667,109,,,175922,,,,2744,1140,,,
1990,330800,衢州,336500,39.762,39.079,21.159,1462,0.125688034,,,8836,100.667,107.08,,,155262,,,,2442,1010,,,
2021,330900,舟山,17040000,9.33,44.25,46.42,146611,NaN,,123685,,,,,,5524053,364623,,5732,,,2422,276150000,494425
2020,330900,舟山,15120000,10.12,39.02,50.86,130130,#DIV/0!,,108495,,,,,,5117194,325608,,6033,,,,,479924
2019,330900,舟山,13720000,10.67,34.66,54.64,116781,NaN,9025,106441,1459,,,,,5760969,360395,,5632,,,146576,560000,451909
2018,330900,舟山,13166986,10.83,32.53,56.63,112490,NaN,11773,98394,1459,,2.48,,,5368516,344129,,5698,,,140672,550000,427879
2017,330900,舟山,12197800,,,,104882,NaN,11453,93018,1459,,2.55,,,5056834,331707,,5056,,,136142,520000,405566
2016,330900,舟山,12411989,10.21,41.09,48.7,107463,NaN,8762,80311,1456,,3.6,18721066,1411309,4573956,291712,,4970,,,143706,460000,389074
2015,330900,舟山,10928459,10.16,41.14,48.7,95113,NaN,7457,74717,1455,,3.2,16333676,1238884,4155181,263345,170,5500,,,136218,1450000,381485
2014,330900,舟山,10152567,9.94,41.89,48.17,88746,NaN,6147,68967.25,1455,,2.68,14977609,1219354,3765820,246092,147,5050,5171,22283,143283,1300000,948968
2013,330900,舟山,9308493,10.28,44.21,45.5,95964,NaN,6160,63304.22,1455,,5.14,13335566,1216544,3316470,229473,132,4621,16714,21392,159517,360000,358061
2012,330900,舟山,8531767,9.74,44.88,45.38,87883,NaN,5843,57281.56,1455,,5.2,11998334,1618254,2905445,213389,107,4562,16155,19985,151569,310000,514323
2011,330900,舟山,7727535,9.84,45.18,44.98,79765,NaN,6023,52905.71,1440,,5.1,11051733,1590576,2517051,162737,100,4044,15594,17885,143206,264556,324471
2010,330900,舟山,6443170,9.63,45.52,44.85,66581,NaN,5985,43635.67,1440,,5.2,9790517,1354946,2125429,121429,79,4059,15109,14329,135819,228367,
2009,330900,舟山,5352361,9.76,45.34,44.9,55311,NaN,7298,40569.74,1440,,5.93,7905601,1031405,1816860,105797,71,3755,11241,10943,122251,197199,
2008,330900,舟山,4902500,10.03,46.19,43.78,50683,0.369846027,7729,38702.3,1440,,5.42,6718654,1154871,1578293,97074,63,3663,10639,10205,121058,158807,
2007,330900,舟山,4083700,10.97,43.77,45.26,42259,0.36694591,7464,33424.82,1440,17,4.81,4863550,728528,1323739,82209,59,3683,10274,9299,106141,134151,
2006,330900,舟山,3351979,12.5,41.62,45.89,34682,0.36425761,7353,28443.49,1440,16,5.2,3603896,586827,1139667,59671,57,3557,10374,8306,98134,127880,
2005,330900,舟山,2801592,14.22,39.71,46.06,28936,0.360901478,6948,25368.1,1440,17,5.2,2833416,457438,1001390,51151,54,3501,8832,6717,82419,164909,
2004,330900,舟山,2120391,18.02,43.06,38.92,21855,0.357445052,6998,22250.33,1440,18,5.9,2024845,295846,875164,45952,51,3415,8028,5430,98136,160933,
2003,330900,舟山,1722656,19.15,41.3,39.55,17679,0.345860791,6910,18777.29,1440,18,5.4,1530256,223104,751099,40297,51,3316,7505,3777,72649,76012,
2002,330900,舟山,1460140,22.54,36.52,40.94,14910,0.332958265,5934,16690.33,1440,18,6.6,1200661,92043,740714,,47,3261,7811,3264,67771,70752,
2001,330900,舟山,1266912,26.08,34.08,39.84,12893,0.303975535,6306,14735.48,1440,18,7.55,886576,62292,654041,,46,3413,7604,3063,61202,46141,
2000,330900,舟山,1140261,29,33.3,37.8,,0.28808048,5443,11504,1440,18,8.84,742164,49024,594800,,35,3233,7498,2735,,,
1999,330900,舟山,1013672,30.8,31.5,37.7,,0.275858565,5540,10389,1440,19,12.31,582165,48201,546080,,42,,7149,2597,,,
1998,330900,舟山,935639,32.8,29.4,37.7,,0.260909275,,9210,1440,19,12.41,,,495144,,39,3340,6803,2357,,,
1997,330900,舟山,891533,33.28,30.68,36.05,,0.24771759,,8369,1378,19,13.22,,,463364,,37,,6674,2457,,,
1996,330900,舟山,825827,33.4,31.3,35.3,,0.240987103,,7456,1371,19,14.45,,,411828,,,,6516,1999,,,
1995,330900,舟山,734927,30.3,33.8,35.9,,0.236467236,,6855,1371,19,14.52,,,352747,,,,6034,2221,,,
1994,330900,舟山,596987,31.217,33.851,34.932,,0.229921421,,5888.51,1371,19,14.6,,,260278,,,,5628,1788,,,
1993,330900,舟山,413400,,,,,0.222823866,,,1371,20,14.34,,,205658,5780,,,4415,1649,,,
1992,330900,舟山,341400,,,,,0.218170644,,,,,15.21,,,,4593,,,3320,1274,,,
1991,330900,舟山,289400,36.247,32.343,31.444,2979,0.215921931,,,1371,20.667,17,,,195416,,,,3093,1191,,,
1990,330900,舟山,245700,35.694,32.275,32.031,2538,0.213320961,,,1371,20.667,16.37,,,164232,,,,2768,1047,,,
2021,331000,台州,57860000,5.25,43.95,50.8,87089,NaN,,103220,,,,,,26056222,1581500,,28309,,,2556,531970000,1975903
2020,331000,台州,52630000,5.61,43.66,50.73,79889,#DIV/0!,,91307,,,,,,23960699,1491485,,28286,,,,,1805909
2019,331000,台州,51340000,5.49,45.58,48.93,83555,NaN,26253,85578,10050,,,,,25446294,1473112,,27762,,,743127,2530000,1638498
2018,331000,台州,48746696,5.42,44.77,49.8,79541,NaN,27309,77675,10050,,51.08,,,23668763,1345144,,26879,,,711268,2450000,1496184
2017,331000,台州,43882200,,,,71950,NaN,25435,70825,9411,,49.84,,,22357308,1226156,,24955,,,678804,2260000,1358141
2016,331000,台州,38986594,6.52,43.5,49.98,64287,NaN,22315,64816,9411,,63.07,40840353,2828540,20131405,1084686,,25656,,,705566,2080000,1290458
2015,331000,台州,35538533,6.46,44.11,49.42,58917,NaN,22738,57215,9411,,60.75,38522436,2693341,18266783,986283,63,23723,,,674120,1790000,1407771
2014,331000,台州,33873783,6.37,46.61,47.02,56208,NaN,22028,54839.03,9411,,60.22,40525239,3444267,16463225,838763,44,21334,13868,20222,698860,1680000,1954788
2013,331000,台州,31533369,6.76,48.06,45.17,53086,NaN,25182,50595.4,9411,,79.91,38057551,3555641,14492679,776018,40,19033,30557,22279,718147,1510000,1223191
2012,331000,台州,29112616,6.9,48.76,44.34,48505,NaN,29420,47010.09,9411,,79.2,35308116,3420494,13043014,739748,52,17809,30874,21245,716548,1270000,1611214
2011,331000,台州,27544144,6.87,50.49,42.64,46011,NaN,27376,42198.16,9411,,78.9,34484524,3628753,11323711,623131,43,16025,30610,19685,637092,1126632,925990
2010,331000,台州,24264533,6.61,51.69,41.69,41172,NaN,26501,40564.72,9411,,82.8,36307993,2845384,9604506,515679,31,16088,30137,18155,619945,863564,
2009,331000,台州,20404529,6.48,51.84,41.68,35489,NaN,26790,36821.04,9411,,84.6,28698750,2002270,8178784,449578,29,15160,22658,15383,595634,752645,
2008,331000,台州,19652660,6.8,52.79,40.41,34374,0.180033446,26310,34128.15,9411,,93.47,30608621,2381817,7097113,390568,26,14465,20800,14400,605875,558170,
2007,331000,台州,17218413,6.59,53.86,39.55,30366,0.178928327,23648,33363.23,9411,146,84.18,27406557,2455138,5961674,332682,24,14025,19723,14008,525875,461203,
2006,331000,台州,14633068,7.24,53.46,39.3,26026,0.176743527,21631,31945.72,9411,147,89.5,22288036,1960784,5115730,253062,25,13494,17304,12153,444497,460637,
2005,331000,台州,12517703,8.2,52.58,39.22,22438,0.175618469,19703,31079.6,9411,147,82.5,17376957,1344579,4399158,223667,25,12367,15675,10247,397886,431934,
2004,331000,台州,11737943,8.24,58.44,33.32,21177,0.173927903,18319,24881.9,9411,147,85.1,13116290,1320607,3029216,198863,20,11958,14307,8849,809829,393280,
2003,331000,台州,9950324,9.33,58.1,32.57,18041,0.172544833,13599,20997.42,9411,147,75.7,9558209,1007875,2623274,163892,19,11035,13813,7923,330091,390310,
2002,331000,台州,6583079,10.51,57.33,32.16,15620,0.170909091,14048,18834.07,9411,148,92.6,7269245,748617,2321036,,17,10377,14231,6343,378049,278892,
2001,331000,台州,7475941,12.25,58.69,29.06,13653,0.167888135,11670,16232.02,9411,150,116.12,6112431,714497,2014996,,17,10396,13187,5752,311710,182318,
2000,331000,台州,6749875,13.2,58.1,28.7,,0.166093447,9676,13206,9411,151,141.4,4815486,269963,1817500,,17,9459,12334,5000,,,
1999,331000,台州,6050030,15.3,56.7,28,,0.150226528,10845,11343,9411,151,169.22,3820164,169828,1636666,,20,,11987,4801,,,
1998,331000,台州,5546349,16.4,55.9,27.7,,0.140182758,,9887,9411,152,166.82,,,1485920,,19,8559,12164,4285,,,
1997,331000,台州,5090663,17.1,55.46,27.44,,0.123624016,,8208,9411,151,154.8,,,1442231,,17,,12800,4346,,,
1996,331000,台州,4865936,19.4,54.7,25.9,,0.115145034,,7068,9411,151,178.05,,,1381389,,,,11515,4370,,,
1995,331000,台州,4082316,21.1,53,25.9,,0.108920613,,6319,9411,151,166.39,,,1181989,,,,11492,4482,,,
1994,331000,台州,2688297,24.49,48.575,26.935,,0.102392126,,5129.2,9496,154,162,,,842424,,,,9666,4222,,,
1993,331000,台州,,,,,,#DIV/0!,,,,,161.95,,,,,,,,,,,
1992,331000,台州,,,,,,#DIV/0!,,,,,172.8,,,,,,,,,,,
1991,331000,台州,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
1990,331000,台州,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
2021,331100,丽水,17100000,6.32,37.25,56.43,68101,NaN,,134315,,,,,,7728747,870065,,13595,,,1130,103000000,533328
2020,331100,丽水,15400000,6.82,36.04,57.14,61811,#DIV/0!,,115583,,,,,,7274834,839689,,13016,,,,,505456
2019,331100,丽水,14770000,6.77,38.68,54.52,66936,NaN,11442,110875,17275,,,,,7379466,766949,,13097,,,195304,990000,473420
2018,331100,丽水,13946650,6.75,41.43,51.82,63611,NaN,11503,103259,17275,,35.85,,,6829087,689280,,12340,,,189079,880000,443944
2017,331100,丽水,12509200,,,,57500,NaN,8724,92581,17275,,34.03,,,6359616,670110,,12042,,,184359,770000,485387
2016,331100,丽水,12102414,7.9,44.9,47.2,56238,NaN,9469,85058,17298,,45.86,17900091,119559,5716390,589829,,12383,,,184260,660000,400920
2015,331100,丽水,11032922,8.28,45.67,46.05,51676,NaN,9447,77238,17298,,47.8,17043615,145813,5192792,522659,70,11635,,,173029,570000,382714
2014,331100,丽水,10517517,8.42,48.07,43.51,49459,NaN,8640,66100.99,17298,,49.37,18392326,236283,4763502,421880,62,10724,4628,5248,181344,510000,2451608
2013,331100,丽水,9830769,8.61,50.64,40.75,37238,NaN,8761,60408.35,17308,,52.28,17934104,239720,4208041,385272,57,9863,5877,4742,189034,450000,352460
2012,331100,丽水,8941046,8.88,50.27,40.85,42244,NaN,9363,56609.07,17298,,52.4,15629872,343306,3710850,367288,53,8636,5874,4660,178876,380000,2392896
2011,331100,丽水,7982174,9.1,50.33,40.57,37706,NaN,9406,49070.73,17298,,52.9,12980820,315527,3158871,282557,64,8424,5876,4702,191715,301300,295362
2010,331100,丽水,6632932,9.49,49.54,40.97,31296,NaN,9703,44975.91,17298,,53.1,11390737,377245,2661269,239969,51,7198,5863,7361,185906,250518,
2009,331100,丽水,5465482,10.73,47.77,41.49,23717,NaN,6546,41141.09,17298,,56.37,8676682,269018,2326212,215736,47,6514,5770,6894,157362,193302,
2008,331100,丽水,5056756,10.93,48.62,40.46,22053,0.174372627,7002,36241.84,17298,,62.28,7916231,265878,2029781,192204,43,6210,5368,3622,141209,170183,
2007,331100,丽水,4338900,11.63,46.53,41.85,17133,0.172959565,7002,31445.31,17298,92,54.62,5787914,257374,1690689,159172,41,6009,5138,3497,126224,155255,
2006,331100,丽水,3553709,12.63,46.06,41.31,14104,0.170870788,7002,27349.36,17298,90,54.8,4187778,216895,1456513,119584,39,5945,4376,3063,108875,141960,
2005,331100,丽水,3059863,14.33,44.82,40.85,12189,0.167150642,7068,24956.49,17298,90,54.9,3168087,187536,1281010,100003,39,5818,3851,2885,101614,115962,
2004,331100,丽水,2645690,15.56,46.87,37.57,10582,0.161892604,6930,22917.46,17298,89,55.4,2338894,77108,1187398,91342,38,5776,3570,3008,95508,101684,
2003,331100,丽水,2202878,17.71,44.21,38.09,8835,0.15862069,6430,18621.45,17298,89,48.2,1671170,26631,1050117,76880,37,5746,2622,2788,88087,31227,
2002,331100,丽水,1851028,20.3,42.73,36.97,7434,0.155688383,5804,15947.86,17298,90,56.6,1248852,36557,936924,,38,5682,2669,2733,90718,27723,
2001,331100,丽水,1589669,23.11,41.55,35.34,6393,0.148152615,5088,13410.53,17298,91,61.52,962858,21301,843396,,36,5679,3350,2674,69291,50944,
2000,331100,丽水,1367613,25.8,39.2,35,,0.141362942,5005,10316,17298,93,69.98,747663,29900,637800,,37,5553,3284,2394,,,
1999,331100,丽水,,,,,,#DIV/0!,,,,,77.11,,,,,,,,,,,
1998,331100,丽水,,27.9,38.1,34,,#DIV/0!,,,,,77.28,,,100245,,,,,,,,
1997,331100,丽水,227707,27.91,40.95,31.14,,#DIV/0!,,,,,77.97,,,92578,,,,,,,,
1996,331100,丽水,202757,33.6,36.5,29.9,,0.255077658,,6098,1502,12,79.75,,,83130,,,,754,523,,,
1995,331100,丽水,199156,33.8,39.7,26.5,,0.249396864,,5473,1502,12,74.28,,,75552,,,,355,326,,,
1994,331100,丽水,152684,29.034,42.841,28.125,,0.238269348,,4962.14,1502,12,9.1,,,58961,,,,783,514,,,
1993,331100,丽水,,,,,,0.228097141,,,1502,13,,,,40927,1494,,,643,126,,,
1992,331100,丽水,,,,,,0.223875969,,,,,,,,,1226,,,562,215,,,
1991,331100,丽水,52700,35.294,34.156,30.55,1640,0.219428926,,,1502,12.667,13,,,32054,,,,429,163,,,
1990,331100,丽水,44400,35.135,31.306,33.784,1391,0.215980025,,,1502,12.667,12.18,,,28051,,,,352,130,,,
2021,340100,合肥,114130000,3.08,36.55,60.38,121187,NaN,,111672,,,,,,51116824,2101977,,60026,,,40993,108500000,2624609
2020,340100,合肥,100460000,3.3,35.64,61.06,108427,#DIV/0!,,104818,,,,,,45137604,1975427,,59271,,,,,2356482
2019,340100,合肥,94090000,3.1,36.3,60.6,115623,NaN,111042,95156,11445,,,,,43782159,1940527,,52285,,,892078,3480000,2156202
2018,340100,合肥,78229061,3.55,46.18,50.28,97470,NaN,109453,89022,11445,,301.35,,,29767420,1635053,,48042,,,932475,3150000,2026800
2017,340100,合肥,70030500,,,,88456,NaN,291727,77484,11445,,315.65,,,27285104,1418002,,42707,,,908120,2580000,1834094
2016,340100,合肥,62743777,4.31,50.7,44.99,80138,NaN,275100,71054,11445,,310.38,101245159,12644073,24456959,1190748,,43880,,,890053,2170000,1680600
2015,340100,合肥,56602700,4.65,52.6,42.75,73102,NaN,103156,65806,11445,,323.31,93455945,11283626,21836501,1192865,68,42113,,,844214,1870000,1601322
2014,340100,合肥,51805600,4.87,55.25,39.88,67689,NaN,103032,59648.42,11445,,312.25,84478356,11084725,16667504,1087882,64,40445,20095,42194,815300,1110000,3609568
2013,340100,合肥,46729100,5.29,55.29,39.42,65631,NaN,107686,54210.78,11445,,299.68,75265754,10873562,14808408,1044694,61,37739,40107,39131,798399,1030000,1420634
2012,340100,合肥,41643400,5.5,55.32,39.17,55186,NaN,21800,50723.74,11445,,303.4,66001424,9365799,12936156,996394,98,35733,34418,33720,702602,930000,3087922
2011,340100,合肥,36366000,5.73,55.06,39.22,48563,NaN,39976,45442.22,11430,,321.3,56174053,9328236,11111188,671066,70,32911,29157,29287,628097,776000,1121812
2010,340100,合肥,27016100,4.91,53.92,41.17,54796,NaN,50881,39290.84,7047,,193.5,37990180,7848882,8390236,370147,63,24870,19805,18873,488000,537615,
2009,340100,合肥,21021200,5.17,52.56,42.26,41543,NaN,58085,34143.62,7047,,190.4,27664011,5627822,7034168,300537,59,24793,17322,14798,961606,412092,
2008,340100,合肥,16648400,6.32,50.15,43.53,34482,0.431430156,51728,30401.18,7047,,186.63,20783744,6238660,5883634,248129,72,21958,14382,12181,389686,324680,
2007,340100,合肥,13346102,5.79,48.97,45.24,28134,0.425412403,45262,25873.7,7029,329,173.06,14931357,4183240,4690023,184910,75,18405,8923,7186,332470,275022,
2006,340100,合肥,10737600,5.75,47.54,46.71,23203,0.417494945,47156,21906.84,7029,325,179.6,11090010,4088309,3843098,126376,73,17058,7813,6776,496922,239882,
2005,340100,合肥,8535700,6.15,44.83,49.02,18960,0.405771341,45362,19030.15,7029,327,153.9,8808230,3287091,3243930,106470,73,15364,7080,6134,415259,494968,
2004,340100,合肥,5897000,9.16,50.4,40.44,13378,0.379958622,40272,16420.1,7029,215,166.6,6592754,,2397739,94614,72,12767,6772,5767,304871,423778,
2003,340100,合肥,4849623,8.25,50.25,41.5,10720,0.350810337,33000,13901.19,7498,356,104.5,5348605,1929843,2074332,73598,66,12618,6034,4641,242238,664255,
2002,340100,合肥,4128065,9.71,50.33,39.97,9274,0.342646731,60000,11944.35,7498,254,161.36,4468944,1505271,1847692,,66,12785,5726,3629,203723,240095,
2001,340100,合肥,3634412,10.48,49.3,40.22,8257,0.33202913,16547,10132.98,7266,263,133.3,3553352,703446,1645991,,65,12505,5141,2903,277126,157948,
2000,340100,合肥,3247340,11.4,48.6,40,,0.326441189,12592,8881,7266,264,142.98,2968552,930276,1482700,,66,12164,5114,1635,,,
1999,340100,合肥,2944484,12.2,47.5,40.3,,0.318432376,15973,7818,7266,265,184.22,2514125,601499,1344140,,66,11878,4893,1517,,,
1998,340100,合肥,2704736,14.9,46.5,38.7,,0.312103855,,7314,7266,266,178.63,,,1229958,,64,12439,2042,1703,,,
1997,340100,合肥,2489887,16.56,46.76,36.68,,0.306812531,,6254,7266,267,178.61,,,1142868,,63,,1971,1747,,,
1996,340100,合肥,2115886,16.8,47.2,36,,0.300837996,,5851,7266,267,180.11,,,960638,,,,999,566,,,
1995,340100,合肥,1675816,18.7,47.2,34,,0.296806208,,5352,7266,268,147.98,,,784402,,,,1139,586,,,
1994,340100,合肥,1318183,20.929,47.966,31.105,,0.290904125,,4442.94,7266,269,135.7,,,600164,,,,1240,623,,,
1993,340100,合肥,,,,,,0.279540647,,,7266,271,,,,458295,10351,,,1479,678,,,
1992,340100,合肥,,,,,,0.275423297,,,,,136.83,,,,9208,,,1830,700,,,
1991,340100,合肥,596900,23.27,48.903,27.827,1556,0.262626263,,,7266,273.333,128,,,362259,,,,1796,784,,,
1990,340100,合肥,581900,28.733,45.3,25.967,1547,0.26037072,,,7266,273.333,167.68,,,333572,,,,1946,1117,,,
2021,340200,芜湖,43030000,3.95,47.62,48.43,117526,NaN,,93215,,,,,,19729503,843638,,23670,,,12476,91070000,908780
2020,340200,芜湖,37530000,4.32,47.62,48.07,102964,#DIV/0!,,83593,,,,,,15843479,814159,,23210,,,,,868753
2019,340200,芜湖,36180000,4.05,48.56,47.4,96154,NaN,14075,79161,6004,,,,,15490036,780743,,18611,,,273902,1350000,781084
2018,340200,芜湖,32785317,4.06,52.18,43.77,88085,NaN,16745,71364,6026,,139.7,,,10282625,743925,,18133,,,295282,1240000,778616
2017,340200,芜湖,29632800,,,,80458,NaN,16494,66883,6026,,139.87,,,9308637,731657,,17741,,,366885,920000,747084
2016,340200,芜湖,26994385,4.7,56,39.3,73715,NaN,16937,61385,6026,,137.26,63192695,7740067,8281706,585118,,18486,,,451360,860000,718759
2015,340200,芜湖,24573234,4.88,57.19,37.92,67592,NaN,18397,57372,6026,,143.43,58290073,7640270,7330353,577511,49,17986,,,348961,720000,699245
2014,340200,芜湖,23095488,5.11,63.91,30.98,64039,NaN,17413,54522.23,6026,,138.43,54541590,7497685,6536172,508965,47,16716,7942,31240,324500,630000,1684148
2013,340200,芜湖,20995271,6.13,66.12,27.75,54533,NaN,17643,44811.98,5988,,132.71,48088567,6248837,5599547,507446,39,13755,17072,25461,296786,590000,620092
2012,340200,芜湖,18736339,6.28,65.87,27.85,48742,NaN,16569,47699.94,5988,,133.7,42500207,5404111,4901992,450780,35,13655,15115,23598,245608,440000,587114
2011,340200,芜湖,16582420,6.45,65.89,27.66,43095,NaN,20151,41946.53,5988,,142,37004936,5318630,4210117,356648,26,13088,12201,21747,214556,365499,546232
2010,340200,芜湖,11085924,4.44,65.18,30.38,48306,NaN,14135,36593.68,3317,,83.5,22510125,3701358,2874466,164502,27,9994,9760,16598,420208,252278,
2009,340200,芜湖,9019997,4.64,62.64,32.72,39142,NaN,20539,32157.32,3317,,84.88,16059417,2489856,2415072,135531,27,8768,8391,13715,330018,245791,
2008,340200,芜湖,7496460,5.26,60.61,34.13,32500,0.49274232,21279,28053.37,3317,,83.04,12847780,2327440,2031959,110368,25,8491,6112,15898,275294,182989,
2007,340200,芜湖,5823014,5.76,57.03,37.21,25933,0.491885794,21391,22964.72,3317,122,75.4,9716021,1696641,1658338,91785,25,7689,5173,14006,218377,177383,
2006,340200,芜湖,4797190,6.32,56.36,37.31,21045,0.487621709,20358,18972.04,3317,123,80,7445467,677938,1397209,67427,24,7277,4516,11764,175887,133210,
2005,340200,芜湖,4006500,7.49,53.2,39.3,17750,0.420530677,21136,16177.41,3317,133,76.5,5396559,498926,1207362,56381,24,6907,4061,4670,143972,199473,
2004,340200,芜湖,3450746,8.2,58.49,33.31,15392,0.412985394,26115,14165.54,3317,133,75.9,4658262,358310,1025363,50204,24,6762,3016,5367,114282,158380,
2003,340200,芜湖,2848538,8.58,57.12,34.3,12786,0.40599589,27416,11398.17,3317,135,56.6,3306914,223575,880026,30635,24,6328,2469,3441,65215,141240,
2002,340200,芜湖,2455133,9.64,54.57,35.78,11109,0.351943718,25545,9322.16,3317,87,68.04,2442396,112701,801335,,24,6307,2288,3110,71347,104544,
2001,340200,芜湖,2187703,10.82,52.41,36.77,9973,0.344547353,19018,8695.41,3317,90,67.75,1941042,92336,748211,,23,6824,1921,2124,92856,63028,
2000,340200,芜湖,2005754,11.4,52.4,36.3,,0.327688012,16679,8255,3317,91,67.67,1475645,74525,705900,,23,6794,1696,2006,,,
1999,340200,芜湖,1931721,11.1,53.9,35.1,,0.323428835,28800,8061,3317,93,62.78,1255391,54761,659995,,23,6767,1636,1589,,,
1998,340200,芜湖,1867609,12.8,52.1,35.1,,0.321338912,,7492,3317,93,74.45,,,619712,,24,6859,1308,1727,,,
1997,340200,芜湖,1649423,13.49,52.47,34.04,,0.31755083,,6193,3317,94,76.38,,,580100,,23,,835,1348,,,
1996,340200,芜湖,1320637,15.9,50.6,33.5,,0.314455054,,5550,3317,94,72.3,,,490600,,,,726,1280,,,
1995,340200,芜湖,1008828,17.7,49.3,33,,0.311544469,,4600,3317,94,72.01,,,390120,,,,999,1368,,,
1994,340200,芜湖,750881,21.589,46.07,32.342,,0.307578364,,3640.26,3317,95,70.7,,,303582,,,,1122,1522,,,
1993,340200,芜湖,,,,,,0.30598093,,,3317,95,,,,223148,7079,,,1930,2321,,,
1992,340200,芜湖,,,,,,0.30443431,,,,,71.87,,,,6134,,,1571,1276,,,
1991,340200,芜湖,315200,21.034,50.222,28.744,1552,0.297257591,,,3317,95.333,58,,,168193,,,,1686,1308,,,
1990,340200,芜湖,318600,23.666,49.027,27.276,1584,0.29673429,,,3317,96,74.98,,,155735,,,,1763,1235,,,
2021,340300,蚌埠,19890000,13.68,33.89,52.44,60117,NaN,,85362,,,,,,12874690,623452,,22129,,,11309,17230000,570352
